"subject","activity","settype","variable","V1"
"1",2,"STANDING","test data","tBodyAcc-mean()-X",0.277911472222222
"2",2,"SITTING","test data","tBodyAcc-mean()-X",0.27708735173913
"3",2,"LAYING","test data","tBodyAcc-mean()-X",0.281373403958333
"4",2,"WALKING","test data","tBodyAcc-mean()-X",0.276426586440678
"5",2,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.27761534806383
"6",2,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.247164790395833
"7",4,"STANDING","test data","tBodyAcc-mean()-X",0.280499745892857
"8",4,"SITTING","test data","tBodyAcc-mean()-X",0.27153827992
"9",4,"LAYING","test data","tBodyAcc-mean()-X",0.263559214981481
"10",4,"WALKING","test data","tBodyAcc-mean()-X",0.278582015166667
"11",4,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.279965329555556
"12",4,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.270876696730769
"13",9,"STANDING","test data","tBodyAcc-mean()-X",0.282310057333333
"14",9,"SITTING","test data","tBodyAcc-mean()-X",0.24832674354
"15",9,"LAYING","test data","tBodyAcc-mean()-X",0.2591955368
"16",9,"WALKING","test data","tBodyAcc-mean()-X",0.278502842115385
"17",9,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.295923445
"18",9,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.262436475714286
"19",10,"STANDING","test data","tBodyAcc-mean()-X",0.276650300681818
"20",10,"SITTING","test data","tBodyAcc-mean()-X",0.270612056481481
"21",10,"LAYING","test data","tBodyAcc-mean()-X",0.280230574137931
"22",10,"WALKING","test data","tBodyAcc-mean()-X",0.278574076603774
"23",10,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.290401594315789
"24",10,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.267121853404255
"25",12,"STANDING","test data","tBodyAcc-mean()-X",0.277405834918033
"26",12,"SITTING","test data","tBodyAcc-mean()-X",0.275007224901961
"27",12,"LAYING","test data","tBodyAcc-mean()-X",0.260113433
"28",12,"WALKING","test data","tBodyAcc-mean()-X",0.2771286656
"29",12,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.281521097391304
"30",12,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.272970338653846
"31",13,"STANDING","test data","tBodyAcc-mean()-X",0.277758431052632
"32",13,"SITTING","test data","tBodyAcc-mean()-X",0.274328499591837
"33",13,"LAYING","test data","tBodyAcc-mean()-X",0.276716360483871
"34",13,"WALKING","test data","tBodyAcc-mean()-X",0.275883130350877
"35",13,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.294907553404255
"36",13,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.258203939581818
"37",18,"STANDING","test data","tBodyAcc-mean()-X",0.278458805890411
"38",18,"SITTING","test data","tBodyAcc-mean()-X",0.27727001877193
"39",18,"LAYING","test data","tBodyAcc-mean()-X",0.274691576923077
"40",18,"WALKING","test data","tBodyAcc-mean()-X",0.273887758571429
"41",18,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.288439468909091
"42",18,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.265401201896552
"43",20,"STANDING","test data","tBodyAcc-mean()-X",0.278076904657534
"44",20,"SITTING","test data","tBodyAcc-mean()-X",0.278045439090909
"45",20,"LAYING","test data","tBodyAcc-mean()-X",0.239507882205882
"46",20,"WALKING","test data","tBodyAcc-mean()-X",0.272589336470588
"47",20,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.296144421355556
"48",20,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.252098317156863
